Negation type,Category,Sentence,Key
without,Other,a man lounges in his room without eating for days .,4893568355
not,Negation of attitude,a blond girl sits at a bar next to a few other men who are not paying attention to her and she is sad .,264461048
no,Quotes and idioms,a man skateboarding against a construction wall reading no bikes .,6685838035
not,Other,a bicycle rider flies over a hill while a competitor is not far behind .,3697675767
without,Salient absence,a guy without a shirt sleeping in front of a window .,4893568355
without,Salient absence,two little kids without shirts are sitting down facing each other .,2638054798
no,Salient absence,"a tattooed man in overalls , no shirt and a baseball cap is holding a microphone in front of a crowd and giving the "" peace "" sign with his other hand .",6842319991
no,Salient absence,a guy with no shirt on is skateboarding .,2712352554
n't,Quotes and idioms,"a woman in a blue winter coat and a person in a black winter vest are crossing the street when the "" do n't walk "" sign is lit .",2082620071
n't,Not a description/Meta,why are n't these girls in the kitchen instead of playing with toys ?,334890559
no,Salient absence,a young man with no shirt on is riding a bike .,7714755346
no,Negation of action/behavior,"a street scene perhaps at an event or rally of some kind , heavyset man in the foreground , no one is really facing the camera .",2508837436
fail,False positive,"girl gets all her fingers cutoff trying to catch a frisbee , fail !",7778073672
no,Other,a boy band and no one even matches someone should have sent a memo .,6788339456
not,Quotes and idioms,"two people are crossing the street , even though the sign says they should not be .",2082620071
without,Salient absence,a man wearing a vertical striped shirt and blue jeans naps without his shows on a brown couch covered with a red velveteen throw blanket .,4749855
not,Other,a dirt bike racer jumping off a hill with another racer not far behind .,3697675767
n't,Salient absence,a man with a disability who does n't have legs is walking with another man who is entered into a marathon .,6321643151
n't,(Preventing) future events,a boy is shaving a african american 's hair in a home setting he has clothing over him so he does n't get hair on himself .,4146483752
n't,Outside the frame,"there is a little blond boy with a brown jacket with an orange strip on top a man , but you ca n't see the man 's body just his head .",4589502987
no,Salient absence,a man wearing white shorts and no shirt is performing tricks on his bike in a skate park .,7714755346
not,Negation of action/behavior,"man in a dark blue snow jacket with black pants and blue snowshoes , tries to make it through to a snow covered entrance and does not quite make it .",398946421
not,Outside the frame,many people have gathered to look at something that is not in the photo .,4817804359
without,Salient absence,two children without shirts on sit at the edge of a fountain .,2638054798
n't,Not a description/Meta,i do n't see a picture i do n't see a picture i do n't see a picture i do n't see a picture,4502384999
nothing,Not a description/Meta,"something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the "" tips "" of his fans .",4738994499
n't,Salient absence,two young boys are outside talking and are n't wearing shirts .,2638054798
miss,Salient absence,a man in a blue and black jersey and missing one foot hits a volleyball from a sitting position .,5840232264
not,Outside the frame,"three young , male members of a band , one of whose face is not shown , one who is playing a bass guitar , and one who is smiling .",3970617963
n't,Other,there is n't a lot of action just a guy at a hotdog stand on normal day .,2488783398
no,Salient absence,a boy with no shirt is doing a trick on a skateboard .,4793039083
