flickr_id,description,negations
2324842075,"Ein junger Mann hält ein Mikrofon in der Hand, während im Hintergrund noch andere Leute zus ehen sind.",noch
4484638832,Ein asiatischer Mann hockt vor einem Zug und ist mit etwas nicht näher zu Bestimmendem beschäftigt.,nicht
4793039083,"Ein Skateboardfahrer macht, oben ohne, einen Trick in einem Skatepark.",ohne
8036608675,Eine Läuferin mit und eine ohne Begleitung laufen auf einer Laufbahn.,ohne
2908834379,In einer Grundschule sitzen fröhliche und interessierte Kinder auf dem Fußboden und achten auf die nicht im Bild zusehende Lehrperson.,nicht
3087225132,Ein junger Mann in einem braunen T-Shirt schließt die Augen und reicht mit dem linken Arm außerhalb des Bildes zu einem nicht sichtbaren Gegenstand oder Menschen,nicht
3335873796,"Neben einer großen weißen Projektion steht eine Frau in einer grünen Bluse und erklärt einem nicht sichtbaren Auditorium, was auf dem Monitor zu sehen ist.",nicht
3826408509,"Zwei Personen in traditioneller Kleidung unter einem blauweißen Schirm, und ums sie stehen noch weitere Personen.",noch
2638054798,Zwei Buben ohne T-Shirt setzen auf der Straße.,ohne
3366571152,Ein kleines Lokal ohne Seitenwänden mit einigen Tischen und wenigen Menschen.,ohne
4968291657,"Eine Mutter mit ihren Kindern, wobei eins noch im Kinderwagen ist, und das andere auf einer kleinen Mauer läuft.",noch
6842319991,"Sängerin in der Blue Jeans, einem Baseball-Cap, aber ohne Hemd dient dim Halle.",ohne
4483432356,zwei Männer sitzen vor einem Gasgrill ohne Gasflasche,ohne
44953142,Ein alter Mann ohne Hemd sitzt auf einem Stuhl und hat ein Tablett mit einem Aschenbecher auf dem Knie.,ohne
4619879173,"Kleines Mädchen in sommerlicher Kleidung, rennt auf einem Fußgängerweg, wobei sich im Hintergrund noch andere Leute befinden.",noch
4889307357,"Eine Asiatin, die nicht glücklich aussieht mit einem Strohhut auf dem Kopf.",nicht
1814391289,Ein Kind im Spidermankostüm kommt an Halloween nicht an eine Türklingel.,nicht
2311881432,kahler Mann ohne Kleidung am Strand sitzen mit Ihrem Handy.,ohne
2324842075,"Ein Mann mit einem Mikrofon, und im Hintergrund befinden sich noch weitere Personen.",noch
3300643106,Der Vortragende ist nicht ganz textsicher.,nicht
3310851569,"Eine Band aus vier Personen, wobei einer singt, einer Gitarre spielt,  während die anderen beiden nichts besonderes tun",nichts
3670205710,"Viele Leute schauen bei etwas zu, dass man auf anhieb nicht erkennen kann.",nicht
4987509732,"eine Ansammlung von Menschen, sommerlich gekleidet schaut auf ein Ereignis, das nicht im Bild ist",nicht
6321643151,Ein behinderter und ein nicht behinderter Sportler befinden sich am Wettkampfort.,nicht
7402359070,Ein Mann hält einen Ball sicher fest damit er nicht von anderen genommen werden kann.,nicht
